background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,input_type,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,source_stage,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold,threshold_source,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
15058,0.020936670009687693,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,mse_model_clean,narrow,0.010824810731836897,88,0.22807017543859653,114,0.7719298245614035,0.048443113856534624,10139392847.331367,0.05275989205355813,178,0.5400516795865633,387,0.4599483204134367,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,clean_peak_percentile,30,0.0,30,1.0,0.050882145098635846,0.04771234938479939,0.01,all,,4.071246249227762,input_specific_validation_background,254,60,0.7530864197530864,243,0.24691358024691357
15058,0.020936670009687693,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,mse_model_clean,narrow,0.010824810731836897,54,0.20588235294117652,68,0.7941176470588235,0.048443113856534624,10139392847.331367,0.05275989205355813,118,0.5972696245733788,293,0.40273037542662116,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,clean_peak_percentile,8,0.0,8,1.0,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,4.071246249227762,input_specific_validation_background,254,56,0.7419354838709677,217,0.25806451612903225
15058,0.020936670009687693,0.001970694974512427,0.0008640077227868773,0.00027247168941525,0.1417565485362096,21,2207,21,0.0013802488770993516,0.003565257269339099,mse_model_clean,narrow,0.0013946075175986187,79,0.3070175438596491,114,0.6929824561403509,0.048443113856534624,10139392847.331367,0.05275989205355813,142,0.6330749354005167,387,0.3669250645994832,0.8975609756097561,0.07695524884985362,,D3/D4-anchor,clean_peak_percentile,30,0.0,30,1.0,0.050882145098635846,0.04771234938479939,0.001,all,,5.817966587255464,input_specific_validation_background,184,33,0.8641975308641976,243,0.13580246913580246
15058,0.020936670009687693,0.001970694974512427,0.0008640077227868773,0.00027247168941525,0.1417565485362096,21,2207,21,0.0013802488770993516,0.003565257269339099,mse_model_clean,narrow,0.0013946075175986187,53,0.22058823529411764,68,0.7794117647058824,0.048443113856534624,10139392847.331367,0.05275989205355813,90,0.6928327645051194,293,0.30716723549488056,0.8975609756097561,0.07695524884985362,,D3/D4-anchor,clean_peak_percentile,8,0.0,8,1.0,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,5.817966587255464,input_specific_validation_background,184,29,0.8663594470046083,217,0.1336405529953917
15058,0.020936670009687693,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,mse_model_clean,narrow,0.010824810731836897,136,0.1952662721893491,169,0.8047337278106509,0.048443113856534624,10139392847.331367,0.05275989205355813,178,0.5400516795865633,387,0.4599483204134367,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,cfar_margin,42,0.0,42,1.0,0.050882145098635846,0.04771234938479939,0.01,all,,4.071246249227762,input_specific_validation_background,254,0,1.0,176,0.0
15058,0.020936670009687693,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,mse_model_clean,narrow,0.010824810731836897,100,0.23664122137404575,131,0.7633587786259542,0.048443113856534624,10139392847.331367,0.05275989205355813,118,0.5972696245733788,293,0.40273037542662116,0.6091127098321343,0.10623170221664575,,D3/D4-anchor,cfar_margin,18,0.0,18,1.0,0.050882145098635846,0.04771234938479939,0.01,non_overlap_only,,4.071246249227762,input_specific_validation_background,254,0,1.0,144,0.0
15058,0.020936670009687693,0.001970694974512427,0.0008640077227868773,0.00027247168941525,0.1417565485362096,21,2207,21,0.0013802488770993516,0.003565257269339099,mse_model_clean,narrow,0.0013946075175986187,100,0.40828402366863903,169,0.591715976331361,0.048443113856534624,10139392847.331367,0.05275989205355813,142,0.6330749354005167,387,0.3669250645994832,0.8975609756097561,0.07695524884985362,,D3/D4-anchor,cfar_margin,42,0.0,42,1.0,0.050882145098635846,0.04771234938479939,0.001,all,,5.817966587255464,input_specific_validation_background,184,0,1.0,176,0.0
15058,0.020936670009687693,0.001970694974512427,0.0008640077227868773,0.00027247168941525,0.1417565485362096,21,2207,21,0.0013802488770993516,0.003565257269339099,mse_model_clean,narrow,0.0013946075175986187,72,0.45038167938931295,131,0.549618320610687,0.048443113856534624,10139392847.331367,0.05275989205355813,90,0.6928327645051194,293,0.30716723549488056,0.8975609756097561,0.07695524884985362,,D3/D4-anchor,cfar_margin,18,0.0,18,1.0,0.050882145098635846,0.04771234938479939,0.001,non_overlap_only,,5.817966587255464,input_specific_validation_background,184,0,1.0,144,0.0
14165,0.020477560415586987,0.012056830395550961,0.009163214338364511,0.0007448806478604557,0.13115590711916303,150,3255,150,0.01012561656140508,0.009658172017729337,mse_model_clean,default,0.010589481115425344,80,0.024390243902439046,82,0.975609756097561,0.048443113856534624,10139392847.331367,0.05480122379309904,216,0.4418604651162791,387,0.5581395348837209,0.6314496314496314,0.07317767653758542,,D3/D4-anchor,clean_peak_percentile,43,0.0,43,1.0,0.053228616017303915,0.05012594301186423,0.01,all,,4.152222563202746,input_specific_validation_background,257,93,0.6450381679389313,262,0.3549618320610687
14165,0.020477560415586987,0.012056830395550961,0.009163214338364511,0.0007448806478604557,0.13115590711916303,150,3255,150,0.01012561656140508,0.009658172017729337,mse_model_clean,default,0.010589481115425344,14,0.0,14,1.0,0.048443113856534624,10139392847.331367,0.05480122379309904,80,0.6059113300492611,203,0.39408866995073893,0.6314496314496314,0.07317767653758542,,D3/D4-anchor,clean_peak_percentile,0,,0,,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,4.152222563202746,input_specific_validation_background,257,66,0.6507936507936508,189,0.3492063492063492
14165,0.020477560415586987,0.0024216604634876276,0.0011644008576593256,0.0003243242044081694,0.09940891993551854,25,3327,25,0.0017946295554413156,0.004209245885295522,mse_model_clean,default,0.0017649135192375574,72,0.12195121951219512,82,0.8780487804878049,0.048443113856534624,10139392847.331367,0.05480122379309904,175,0.5478036175710594,387,0.45219638242894056,0.8809523809523809,0.052676537585421415,,D3/D4-anchor,clean_peak_percentile,43,0.0,43,1.0,0.053228616017303915,0.05012594301186423,0.001,all,,5.786273499007395,input_specific_validation_background,185,60,0.7709923664122138,262,0.22900763358778625
14165,0.020477560415586987,0.0024216604634876276,0.0011644008576593256,0.0003243242044081694,0.09940891993551854,25,3327,25,0.0017946295554413156,0.004209245885295522,mse_model_clean,default,0.0017649135192375574,14,0.0,14,1.0,0.048443113856534624,10139392847.331367,0.05480122379309904,55,0.729064039408867,203,0.270935960591133,0.8809523809523809,0.052676537585421415,,D3/D4-anchor,clean_peak_percentile,0,,0,,0.053228616017303915,0.05012594301186423,0.001,non_overlap_only,,5.786273499007395,input_specific_validation_background,185,41,0.783068783068783,189,0.21693121693121692
14165,0.020477560415586987,0.012056830395550961,0.009163214338364511,0.0007448806478604557,0.13115590711916303,150,3255,150,0.01012561656140508,0.009658172017729337,mse_model_clean,default,0.010589481115425344,154,0.0,154,1.0,0.048443113856534624,10139392847.331367,0.05480122379309904,216,0.4418604651162791,387,0.5581395348837209,0.6314496314496314,0.07317767653758542,,D3/D4-anchor,cfar_margin,36,0.0,36,1.0,0.053228616017303915,0.05012594301186423,0.01,all,,4.152222563202746,input_specific_validation_background,257,26,0.868020304568528,197,0.1319796954314721
14165,0.020477560415586987,0.012056830395550961,0.009163214338364511,0.0007448806478604557,0.13115590711916303,150,3255,150,0.01012561656140508,0.009658172017729337,mse_model_clean,default,0.010589481115425344,61,0.0,61,1.0,0.048443113856534624,10139392847.331367,0.05480122379309904,80,0.6059113300492611,203,0.39408866995073893,0.6314496314496314,0.07317767653758542,,D3/D4-anchor,cfar_margin,0,,0,,0.053228616017303915,0.05012594301186423,0.01,non_overlap_only,,4.152222563202746,input_specific_validation_background,257,19,0.8661971830985915,142,0.13380281690140844
